bb5a2fbb-5424-4be8-b51e-d626c15ef05b,Yamaha,Scooter,FASCINO 113,TwoWheeler
bb5a2fbb-5424-4be8-b51e-d626c15ef05b,Yamaha,Scooter,RAY ZA Street Rally 113,TwoWheeler
bb5a2fbb-5424-4be8-b51e-d626c15ef05b,Yamaha,Scooter,RAY Z 113,TwoWheeler
0837c62a-d5f8-47f1-a6e3-574000e50786,Tvs,Bike,RR 310,TwoWheeler
0837c62a-d5f8-47f1-a6e3-574000e50787,Tvs,Bike,RTR 200 4V RTFI BS6,TwoWheeler
0837c62a-d5f8-47f1-a6e3-574000e50788,Tvs,Bike,RTR 200 4V ABS,TwoWheeler
0837c62a-d5f8-47f1-a6e3-574000e50789,Tvs,Bike,RTR 160 4v ABS,TwoWheeler
0837c62a-d5f8-47f1-a6e3-574000e50790,Tvs,Bike,RTR 160 4V RD,TwoWheeler
0837c62a-d5f8-47f1-a6e3-574000e50791,Tvs,Bike,RTR 180 2v,TwoWheeler
0837c62a-d5f8-47f1-a6e3-574000e50792,Tvs,Bike,RTR 160 4V FD,TwoWheeler
0837c62a-d5f8-47f1-a6e3-574000e50793,Tvs,Bike,RTR 160 4V RD,TwoWheeler
0837c62a-d5f8-47f1-a6e3-574000e50794,Tvs,Bike,RTR 200 4V v2.0,TwoWheeler
0837c62a-d5f8-47f1-a6e3-574000e50795,Tvs,Bike,RTR 160 4V FD,TwoWheeler
0837c62a-d5f8-47f1-a6e3-574000e50796,Tvs,Bike,RTR 160 2V FD,TwoWheeler
0837c62a-d5f8-47f1-a6e3-574000e50797,Tvs,Bike,Stryker 125,TwoWheeler
0837c62a-d5f8-47f1-a6e3-574000e50798,Tvs,Bike,Tvs Max 125,TwoWheeler
0837c62a-d5f8-47f1-a6e3-574000e50799,Tvs,Bike,RTR 160 4V RTFI BS6,TwoWheeler
0837c62a-d5f8-47f1-a6e3-574000e50800,Tvs,Bike,RADEON,TwoWheeler
0837c62a-d5f8-47f1-a6e3-574000e50801,Tvs,Bike,XI 100,TwoWheeler
0837c62a-d5f8-47f1-a6e3-574000e50802,Tvs,Bike,Tvs stryker 125 Refresh,TwoWheeler
0837c62a-d5f8-47f1-a6e3-574000e50803,Tvs,Bike,Tvs Raider,TwoWheeler
0837c62a-d5f8-47f1-a6e3-574000e50786,Tvs,Scooter,Ntorq Disc,TwoWheeler
0837c62a-d5f8-47f1-a6e3-574000e50787,Tvs,Scooter,Ntorq Race Edition,TwoWheeler
0837c62a-d5f8-47f1-a6e3-574000e50788,Tvs,Scooter,Ntorq Super Squad Edition,TwoWheeler
0837c62a-d5f8-47f1-a6e3-574000e50789,Tvs,Scooter,Ntorq XP,TwoWheeler
0837c62a-d5f8-47f1-a6e3-574000e50790,Tvs,Scooter,Ntorq Drum,TwoWheeler
0837c62a-d5f8-47f1-a6e3-574000e50791,Tvs,Scooter,Ntorq RTFI BS6,TwoWheeler
0837c62a-d5f8-47f1-a6e3-574000e50792,Tvs,Scooter,Tvs Wego FI,TwoWheeler
0837c62a-d5f8-47f1-a6e3-574000e50793,Tvs,Scooter,Dazz,TwoWheeler
0837c62a-d5f8-47f1-a6e3-574000e50794,Tvs,Scooter,Zest,TwoWheeler
0837c62a-d5f8-47f1-a6e3-574000e50795,Tvs,Scooter,Jupiter Classic,TwoWheeler
0837c62a-d5f8-47f1-a6e3-574000e50796,Tvs,Scooter,Wego,TwoWheeler
9e90311c-5a6c-11ed-8ca1-070fed719a25,Honda,Bike,CB Hornet 2.0,TwoWheeler
9e90311c-5a6c-11ed-8ca1-070fed719a26,Honda,Bike,CB Uniocorn 150,TwoWheeler
9e90311c-5a6c-11ed-8ca1-070fed719a27,Honda,Bike,XBlade,TwoWheeler
9e90311c-5a6c-11ed-8ca1-070fed719a28,Honda,Bike,CB Shine Sp,TwoWheeler
9e90311c-5a6c-11ed-8ca1-070fed719a29,Honda,Bike,CB Hornet 160R,TwoWheeler
9e90311c-5a6c-11ed-8ca1-070fed719a30,Honda,Bike,CD 110 Dream,TwoWheeler
9e90311c-5a6c-11ed-8ca1-070fed719a31,Honda,Bike,CB Shine,TwoWheeler
9e90311c-5a6c-11ed-8ca1-070fed719a32,Honda,Bike,Honda CB350RS,TwoWheeler
9e90311c-5a6c-11ed-8ca1-070fed719a33,Honda,Bike,H'ness CB350,TwoWheeler
9e90311c-5a6c-11ed-8ca1-070fed719a34,Honda,Bike,XR190L,TwoWheeler
9e90311c-5a6c-11ed-8ca1-070fed719a35,Honda,Bike,CBR 600RR,TwoWheeler
9e90311c-5a6c-11ed-8ca1-070fed719a36,Honda,Bike,CBR 250R,TwoWheeler
9e90311c-5a6c-11ed-8ca1-070fed719a37,Honda,Bike,XR 150L,TwoWheeler
9e90311c-5a6c-11ed-8ca1-070fed719a25,Honda,Scooter,Grazia BS6,TwoWheeler
9e90311c-5a6c-11ed-8ca1-070fed719a26,Honda,Scooter,Grazia,TwoWheeler
9e90311c-5a6c-11ed-8ca1-070fed719a27,Honda,Scooter,Aviator,TwoWheeler
9e90311c-5a6c-11ed-8ca1-070fed719a28,Honda,Scooter,Activa 125,TwoWheeler
9e90311c-5a6c-11ed-8ca1-070fed719a29,Honda,Scooter,DIO,TwoWheeler
70908f86-c2a5-4d3e-9455-9c2515575668,Ktm,Bike,Duke 790,TwoWheeler
70908f86-c2a5-4d3e-9455-9c2515575669,Ktm,Bike,Duke 390,TwoWheeler
70908f86-c2a5-4d3e-9455-9c2515575670,Ktm,Bike,Duke 250,TwoWheeler
70908f86-c2a5-4d3e-9455-9c2515575671,Ktm,Bike,Duke 200,TwoWheeler
70908f86-c2a5-4d3e-9455-9c2515575672,Ktm,Bike,Adventure 390,TwoWheeler
70908f86-c2a5-4d3e-9455-9c2515575673,Ktm,Bike,Adventure 250,TwoWheeler
70908f86-c2a5-4d3e-9455-9c2515575674,Ktm,Bike,RC 390,TwoWheeler
70908f86-c2a5-4d3e-9455-9c2515575675,Ktm,Bike,RC 200,TwoWheeler
507f1062-c803-4075-ac18-06182e64a8aa,Hero,Bike,Super Splendor FI,TwoWheeler
507f1062-c803-4075-ac18-06182e64a8aa,Hero,Bike,Glamour XTEC,TwoWheeler
507f1062-c803-4075-ac18-06182e64a8aa,Hero,Bike,XPULSe 200 4V ,TwoWheeler
507f1062-c803-4075-ac18-06182e64a8aa,Hero,Bike,XTREME 160R,TwoWheeler
507f1062-c803-4075-ac18-06182e64a8aa,Hero,Bike,Hun 150R,TwoWheeler
507f1062-c803-4075-ac18-06182e64a8aa,Hero,Bike,XPULSE 200,TwoWheeler
507f1062-c803-4075-ac18-06182e64a8aa,Hero,Bike,XPULSE 200T,TwoWheeler
507f1062-c803-4075-ac18-06182e64a8aa,Hero,Bike,XTREME 200R,TwoWheeler
